ATC_1,ATC_2,ATC_3,ATC_4,ATC_5,ATC_6,ATC_7,ATC_8,target
0.246329527,0.531810767,0.088091354,0.125611746,0.008156607,583,5.38E+02,45,1
2.47E-01,5.25E-01,0.1003861,0.115830116,0.011583012,4.95E+02,454,41,1
0.253333333,0.524444444,0.077037037,1.39E-01,0.005925926,639,583,56,1
0.245065789,0.537828947,0.074013158,0.128289474,0.014802632,575,534,41,1
0.273236282,0.516237402,0.077267637,0.128779395,0.004479283,858,775,83,1
0.253588517,0.526315789,6.38E-02,0.145135566,0.011164274,5.93E+02,545,48,1
0.263551402,0.521495327,0.069158879,1.35E-01,0.011214953,512,469,43,1
0.25498008,0.490039841,0.083665339,0.155378486,0.015936255,239,214,25,1
0.250773994,0.501547988,0.080495356,0.154798762,0.012383901,308,280,28,1
0.252054795,5.01E-01,0.068493151,1.64E-01,0.01369863,3.44E+02,310,34,1
0.271961492,0.506618532,0.075812274,0.141997593,0.003610108,797,716,81,1
0.236889693,0.513562387,0.08318264,1.56E-01,0.01084991,521,477,44,1
2.50E-01,0.517567568,0.087837838,0.137837838,0.006756757,702,638,6.40E+01,1
0.248387097,0.517741935,0.069354839,0.151612903,0.012903226,588,541,47,1
0.246648794,0.504021448,0.096514745,0.136729223,0.016085791,355,321,34,1
0.258426966,0.52184769,0.08988764,0.126092385,0.003745318,768,701,67,1
0.272401434,4.91E-01,0.078853047,0.146953405,0.010752688,535,475,60,1
0.275053305,0.50533049,0.078891258,0.12793177,0.012793177,451,404,47,1
0.242693774,0.522236341,0.09021601,0.132147395,0.01270648,746,684,62,1
0.266109785,0.523866348,0.077565632,0.131264916,0.001193317,803,732,71,1
0.280973451,0.530973451,0.066371681,0.119469027,0.002212389,434,394,40,1
0.251862891,0.511177347,0.090909091,0.138599106,0.007451565,639,579,60,1
0.254826255,0.515444015,0.067567568,0.150579151,0.011583012,491,448,43,1
0.258210646,0.514156285,7.47E-02,1.45E-01,0.00792752,8.41E+02,7.65E+02,76,1
0.258139535,0.541860465,0.062790698,0.13255814,0.004651163,408,378,30,1
0.279338843,0.490909091,0.06446281,0.155371901,0.009917355,580,515,65,1
0.268867925,0.504716981,0.066037736,0.146226415,0.014150943,404,363,41,1
0.25,0.509920635,0.073412698,0.154761905,0.011904762,476,432,44,1
