ATC_1,ATC_2,ATC_3,ATC_4,ATC_5,ATC_6,ATC_7,ATC_8,target
0.274685817,0.524236984,0.061041293,0.127468582,0.012567325,533,485,48,1
0.268707483,0.518707483,0.073129252,0.12755102,0.011904762,564,513,51,1
0.268326418,0.514522822,0.071922545,0.132780083,0.012448133,692,627,65,1
0.258426966,5.20E-01,7.58E-02,0.140449438,0.005617978,338,307,31,1
0.283783784,0.503861004,0.063706564,0.137065637,0.011583012,499,447,52,1
0.274058577,0.520920502,0.085774059,0.110878661,0.008368201,461,4.17E+02,4.40E+01,1
0.249492901,5.21E-01,0.087221095,0.127789047,0.014198783,4.70E+02,431,39,1
0.25382263,0.510703364,0.082568807,0.140672783,0.012232416,313,286,27,1
0.25095057,0.517110266,0.079847909,0.144486692,0.007604563,501,459,42,1
0.269592476,0.521943574,0.073667712,0.128526646,0.006269592,610,553,57,1
0.241187384,0.512059369,0.066790353,1.69E-01,0.011131725,505,461,44,1
0.273542601,0.531390135,0.065022422,0.123318386,0.006726457,427,390,37,1
0.244444444,0.530718954,0.067973856,0.149019608,0.007843137,720,665,55,1
0.257971014,5.13E-01,0.07826087,1.41E-01,0.010144928,657,5.96E+02,61,1
0.274509804,0.498039216,0.074509804,0.129411765,0.023529412,246,221,25,1
0.266666667,0.511666667,0.081666667,0.133333333,0.006666667,574,517,57,1
0.26975945,0.510309278,0.070446735,0.137457045,0.012027491,557,503,54,1
0.244377811,0.524737631,0.071964018,0.145427286,0.013493253,629,579,50,1
0.262222222,0.517777778,0.064444444,0.14,0.015555556,428,390,38,1
0.254901961,0.513071895,0.088235294,0.124183007,0.019607843,292,265,27,1
0.253549696,0.507099391,0.077079108,0.15010142,0.012170385,469,426,43,1
0.242120344,0.521489971,0.088825215,0.141833811,0.005730659,6.60E+02,604,56,1
0.247191011,0.516853933,0.080898876,0.141573034,0.013483146,422,386,36,1
0.277486911,0.516579407,0.062827225,0.132635253,0.010471204,550,498,52,1
0.272058824,0.507352941,0.058823529,0.139705882,0.022058824,261,237,24,1
0.275,0.522916667,0.06875,0.133333333,0,461,419,42,1
0.265263158,0.528421053,0.069473684,0.124210526,0.012631579,453,414,39,1
0.258152174,5.11E-01,0.076086957,0.144021739,1.09E-02,700,6.34E+02,66,1
0.265206813,0.532846715,0.090024331,0.111922141,0,396,363,33,1
0.259150805,0.524158126,0.0761347,0.136163982,0.004392387,650,593,57,1
0.250922509,0.522140221,0.08302583,0.132841328,0.011070111,518,477,41,1
0.274074074,0.496296296,0.074074074,0.140740741,0.014814815,260,233,27,1
0.25,0.519230769,0.085164835,0.133241758,0.012362637,691,630,61,1
0.259150805,0.524158126,0.079062958,0.128843338,0.008784773,651,594,57,1
0.253488372,0.520930233,0.08372093,0.130232558,0.011627907,4.09E+02,373,36,1
0.260029718,0.534918276,0.071322437,0.124814264,0.008915305,641,590,51,1
0.26044226,0.538083538,0.081081081,1.08E-01,0.012285012,3.90E+02,360,30,1
0.273522976,0.501094092,0.076586433,0.135667396,0.013129103,440,395,45,1
0.241435563,0.528548124,0.094616639,0.125611746,0.009787928,582,536,46,1
0.253863135,0.514348786,0.072847682,0.134657837,0.024282561,431,394,37,1
0.276595745,0.49787234,0.080851064,0.123404255,0.021276596,227,203,24,1
0.251445087,5.30E-01,7.37E-02,0.134393064,1.01E-02,6.57E+02,6.06E+02,51,1
0.259475219,0.523323615,0.06851312,0.141399417,0.00728863,6.54E+02,600,5.40E+01,1
0.257692308,0.503846154,0.073076923,0.142307692,0.023076923,249,227,22,1
0.269366197,0.503521127,0.088028169,0.128521127,0.01056338,545,487,58,1
0.247848537,0.51979346,0.079173838,0.142857143,0.010327022,550,503,47,1
0.261637239,0.515248796,0.07223114,0.138041734,0.012841091,595,542,53,1
0.258730159,0.501587302,0.079365079,0.150793651,0.00952381,602,544,58,1
0.259587021,0.533923304,0.073746313,0.126843658,0.005899705,322,295,27,1
0.251177394,0.518053375,0.081632653,0.142857143,0.006279435,604,550,54,1
0.261437908,5.08E-01,7.71E-02,0.14248366,0.010457516,729,6.58E+02,71,1
0.256814921,0.509325681,0.076040172,0.144906743,0.012912482,6.61E+02,597,6.40E+01,1
0.260638298,0.513297872,0.093085106,0.122340426,0.010638298,3.62E+02,3.29E+02,33,1
0.260456274,0.532319392,0.068441065,0.127376426,0.011406844,500,459,41,1
0.259615385,0.514423077,0.072115385,0.141025641,0.012820513,594,540,54,1
0.243735763,0.512528474,0.079726651,1.50E-01,0.013667426,4.14E+02,377,37,1
0.279569892,0.508960573,0.071684588,0.11827957,0.021505376,2.70E+02,244,26,1
0.258164852,0.524105754,0.073094868,0.133748056,0.01088647,612,560,52,1
0.265356265,0.528255528,0.081081081,0.116707617,0.008599509,782,716,66,1
0.238586156,0.521354934,0.088365243,0.144329897,0.00736377,640,586,54,1
0.25154321,0.50617284,0.077160494,0.151234568,0.013888889,617,562,55,1
0.259689922,0.520671835,0.07881137,0.130490956,0.010335917,7.37E+02,670,6.70E+01,1
0.270522388,0.520522388,0.069029851,0.138059701,0.001865672,511,462,49,1
0.265895954,0.526011561,0.07283237,0.124855491,0.010404624,828,757,71,1
0.244027304,0.530716724,0.076791809,0.141638225,0.006825939,553,510,43,1
0.247588424,0.508038585,0.083601286,0.147909968,0.012861736,295,268,27,1
0.255639098,0.512781955,0.076691729,0.142857143,0.012030075,6.34E+02,5.78E+02,56,1
0.270541082,0.503006012,0.082164329,0.130260521,0.014028056,479,429,50,1
0.249385749,0.514742015,0.08968059,0.14004914,0.006142506,774,704,70,1
0.241316271,0.531992687,0.08226691,0.131627057,0.012797075,517,478,39,1
0.256521739,0.520289855,0.085507246,0.128985507,0.008695652,658,599,59,1
0.271317829,0.49870801,0.080103359,0.134366925,0.015503876,372,3.33E+02,39,1
0.266257669,0.515337423,0.078527607,0.132515337,0.007361963,781,708,73,1
0.253267974,0.516339869,0.078431373,0.138888889,0.013071895,581,529,52,1
0.25,0.5,0.082352941,0.155882353,0.011764706,322,290,32,1
0.241463415,0.497560976,0.092682927,0.153658537,0.014634146,388,350,38,1
0.250793651,0.517460317,0.082539683,0.131746032,0.017460317,599,547,52,1
0.263492063,5.24E-01,0.066666667,0.13968254,6.35E-03,599,546,53,1
0.257261411,0.510373444,0.082987552,0.136929461,0.012448133,461,419,42,1
0.25,0.509090909,0.078787879,0.153030303,0.009090909,627,571,56,1
0.262059974,0.518904824,0.073011734,0.13559322,0.010430248,732,667,65,1
0.275747508,0.511627907,0.066445183,0.136212625,0.009966777,579,524,55,1
0.259026688,0.510204082,0.073783359,0.149136578,0.007849294,606,549,57,1
0.25528914,0.52045134,0.080394922,0.136812412,0.007052186,674,614,60,1
2.69E-01,0.514099783,0.062906725,0.140997831,0.013015184,4.39E+02,397,42,1
0.280762565,0.511265165,0.071057192,0.133448873,0.003466205,556,500,56,1
0.274853801,0.504873294,0.068226121,0.138401559,0.013645224,493,444,49,1
0.254637437,0.527824621,0.075885329,0.133220911,0.008431703,564,518,46,1
0.262396694,5.29E-01,0.061983471,1.34E-01,0.012396694,461,424,37,1
0.260078023,0.507152146,0.085825748,0.136540962,0.010403121,735,663,72,1
2.58E-01,0.509736541,8.13E-02,1.47E-01,4.58E-03,8.32E+02,753,7.90E+01,1
0.252144082,0.526586621,0.077186964,0.135506003,0.008576329,554,509,45,1
0.267924528,0.501886792,0.071698113,0.143396226,0.01509434,254,229,25,1
0.260458839,0.542510121,0.067476383,0.12145749,0.008097166,707,656,51,1
0.254205607,0.51588785,0.089719626,0.125233645,0.014953271,511,465,46,1
0.258248009,0.513083049,8.53E-02,0.134243458,9.10E-03,840,762,7.80E+01,1
0.255250404,0.510500808,0.071082391,0.151857835,0.011308562,587,533,54,1
0.266409266,0.526383526,0.078507079,0.123552124,0.005148005,743,676,67,1
0.248407643,0.515923567,0.082802548,0.130573248,0.022292994,299,274,25,1
0.249185668,0.519543974,0.092833876,0.131921824,0.006514658,583,530,53,1
0.252204586,5.03E-01,0.075837743,1.55E-01,0.014109347,5.38E+02,487,51,1
0.266362253,0.505327245,0.066971081,0.149162861,0.01217656,627,566,61,1
0.268263473,0.532934132,0.070658683,0.120958084,0.007185629,799,732,67,1
0.251327434,0.534513274,0.077876106,0.123893805,0.012389381,536,494,42,1
0.258741259,0.524475524,0.06993007,0.146853147,0,272,249,23,1
0.255462185,0.517647059,0.07394958,0.142857143,1.01E-02,5.65E+02,515,5.00E+01,1
0.251506024,0.528614458,8.58E-02,0.120481928,0.013554217,634,5.84E+02,50,1
0.249185668,5.18E-01,0.081433225,0.138436482,0.013029316,582,531,5.10E+01,1
0.276315789,0.520676692,0.065789474,0.129699248,0.007518797,509,460,49,1
0.242897727,0.509943182,0.078125,0.154829545,0.014204545,665,607,58,1
0.256227758,0.523131673,0.072360617,0.141162515,0.007117438,801,733,68,1
0.234449761,0.511961722,0.090909091,0.148325359,0.014354067,394,360,34,1
0.270310192,0.518463811,0.072378139,0.134416544,0.004431315,6.49E+02,589,6.00E+01,1
0.248175182,0.522627737,0.084671533,0.137226277,0.00729927,650,595,55,1
0.262479871,0.507246377,0.072463768,0.148148148,0.009661836,5.93E+02,5.37E+02,56,1
0.284697509,5.05E-01,7.83E-02,1.17E-01,0.014234875,271,241,3.00E+01,1
0.23627685,0.515513126,0.090692124,0.143198091,0.014319809,396,363,33,1
0.257718121,0.523489933,0.077852349,0.130201342,0.010738255,714,657,57,1
0.271698113,0.483018868,0.075471698,0.147169811,0.022641509,254,225,29,1
0.252951096,0.524451939,0.089376054,0.133220911,0,565,516,49,1
0.25732899,0.511400651,0.081433225,0.136807818,0.013029316,294,268,26,1
0.261316872,0.5,0.067901235,0.156378601,0.014403292,461,414,47,1
2.61E-01,0.533965245,0.069510269,0.129541864,0.006319115,605,559,4.60E+01,1
0.256214149,0.544933078,0.066921606,0.126195029,0.005736138,497,462,35,1
0.265822785,0.550632911,0.073839662,0.109704641,0,453,419,34,1
0.28,0.513684211,0.067368421,0.138947368,0,457,412,45,1
0.261538462,0.52967033,0.068131868,0.127472527,0.013186813,433,397,36,1
0.281803543,0.523349436,0.07568438,0.115942029,0.003220612,599,541,58,1
0.247887324,0.549295775,8.17E-02,1.18E-01,0.002816901,338,3.16E+02,22,1
0.26739427,0.500682128,0.080491132,0.140518417,0.010914052,702,629,73,1
0.28830313,0.517298188,0.059308072,0.125205931,0.009884679,585,527,58,1
0.256880734,0.524770642,0.073394495,0.139449541,0.005504587,519,476,43,1
0.272727273,0.510330579,0.068181818,0.132231405,0.016528926,462,415,47,1
0.26128266,0.534441805,0.06888361,1.33E-01,0.002375297,4.01E+02,3.69E+02,32,1
0.256140351,0.515789474,0.080701754,0.122807018,0.024561404,272,248,24,1
0.265873016,0.517857143,0.069444444,0.134920635,0.011904762,480,435,45,1
0.256166983,0.506641366,0.077798861,0.14800759,0.011385199,503,457,46,1
0.258119658,0.51965812,0.075213675,0.133333333,0.013675214,558,510,48,1
0.258823529,0.535294118,0.064705882,0.141176471,0,321,294,27,1
0.273301738,0.515007899,0.082148499,0.124802528,0.004739336,608,547,61,1
2.50E-01,0.513478819,0.079589217,0.150192555,0.006418485,740,675,65,1
2.57E-01,5.07E-01,0.065764023,1.55E-01,0.015473888,4.91E+02,446,45,1
0.245689655,0.517241379,0.086206897,0.137931034,0.012931034,440,4.02E+02,38,1
0.260344828,0.518965517,0.067241379,0.139655172,0.013793103,553,506,47,1
0.263157895,0.521052632,0.081578947,0.126315789,0.007894737,729,665,64,1
0.253751705,0.514324693,0.080491132,0.140518417,0.010914052,699,638,61,1
0.280295047,0.515279241,0.072708114,0.127502634,0.004214963,912,819,93,1
0.280821918,0.512328767,0.071232877,0.126027397,0.009589041,7.02E+02,630,72,1
0.248927039,0.515021459,0.077253219,0.143776824,0.015021459,442,404,38,1
0.258364312,0.514869888,0.076208178,0.139405204,0.011152416,513,467,46,1
0.285046729,0.507788162,0.07165109,0.126168224,0.009345794,621,557,64,1
0.233128834,0.515337423,0.098159509,0.139059305,0.014314928,4.61E+02,4.21E+02,4.00E+01,1
0.256351039,0.508083141,0.083140878,0.138568129,0.013856813,826,748,78,1
2.70E-01,0.502772643,0.070240296,0.146025878,0.011090573,5.18E+02,4.66E+02,52,1
0.255707763,0.51826484,0.066210046,0.146118721,0.01369863,414,377,37,1
0.256270447,0.510359869,8.94E-02,1.37E-01,0.006543075,877,795,82,1
0.271828666,0.518945634,0.074135091,0.128500824,0.006589786,581,525,56,1
0.259684362,5.24E-01,8.18E-02,1.29E-01,0.005738881,664,604,6.00E+01,1
0.259124088,0.50729927,0.091240876,1.28E-01,0.01459854,263,238,25,1
0.257831325,0.496385542,0.091566265,0.144578313,0.009638554,396,354,42,1
0.242063492,0.51984127,0.075396825,1.51E-01,1.19E-02,4.75E+02,4.36E+02,39,1
0.267727931,5.11E-01,0.076700434,0.136034732,0.008683068,6.61E+02,596,65,1
0.25093633,0.505617978,0.074906367,0.155430712,0.013108614,5.06E+02,4.59E+02,47,1
0.245217391,0.525217391,0.090434783,0.128695652,0.010434783,546,501,45,1
0.243093923,0.511049724,0.102209945,0.132596685,0.011049724,345,314,31,1
0.278514589,0.517241379,6.63E-02,0.137931034,0,362,327,35,1
0.276315789,0.509398496,7.33E-02,0.133458647,0.007518797,509,455,5.40E+01,1
0.252679939,0.520673813,0.088820827,1.24E-01,0.013782542,623,569,54,1
0.268774704,0.524374177,0.073781291,0.130434783,0.002635046,726,660,66,1
0.241090147,0.501048218,0.090146751,0.150943396,0.016771488,451,408,43,1
0.257978723,0.563829787,0.069148936,0.109042553,0,358,336,22,1
0.245,0.5325,0.0875,0.115,0.02,382,355,27,1
0.253731343,0.529850746,0.082089552,1.32E-01,0.001865672,511,470,41,1
0.255673222,0.514372163,7.87E-02,0.145234493,0.006051437,629,572,57,1
0.307420495,0.477031802,0.067137809,0.134275618,0.014134276,277,242,35,1
0.271668823,0.514877102,0.069857697,0.13454075,0.009055627,742,673,69,1
0.264492754,0.505434783,0.085144928,0.130434783,0.014492754,529,476,53,1
0.272941176,0.496470588,0.077647059,0.150588235,0.002352941,407,362,45,1
0.267164179,0.508955224,8.21E-02,0.132835821,0.008955224,643,580,63,1
0.273100616,0.50513347,0.0862423,0.123203285,1.23E-02,469,420,4.90E+01,1
0.261971831,0.512676056,0.078873239,0.132394366,0.014084507,338,305,33,1
0.287943262,0.504964539,0.068085106,0.129078014,0.009929078,680,606,74,1
0.267759563,0.505464481,0.068306011,0.144808743,0.013661202,348,312,36,1
0.263222632,0.532595326,0.0799508,0.115621156,0.008610086,781,719,6.20E+01,1
0.26618705,0.517985612,0.076738609,0.12470024,0.014388489,400,364,36,1
0.281437126,0.508982036,0.065868263,0.134730539,0.008982036,639,570,69,1
0.262548263,0.500643501,0.081081081,0.145431145,0.01029601,742,666,7.60E+01,1
0.25167336,0.510040161,0.078982597,0.149933066,0.009370817,709,644,65,1
0.267605634,0.513078471,0.062374245,0.142857143,0.014084507,474,430,44,1
0.270029674,0.523738872,0.060830861,0.136498516,8.90E-03,642,5.84E+02,58,1
0.263157895,0.516569201,0.068226121,1.40E-01,0.011695906,4.88E+02,443,4.50E+01,1
0.25145518,0.514551804,8.38E-02,0.138533178,1.16E-02,816,742,74,1
0.254464286,0.5,0.089285714,0.138392857,0.017857143,214,193,21,1
0.248373102,0.520607375,0.097613883,0.129067245,0.004338395,879,802,77,1
0.251239669,0.525619835,0.076033058,0.132231405,0.014876033,575,529,46,1
0.243373494,5.13E-01,7.47E-02,0.151807229,0.01686747,391,357,34,1
0.27402863,0.507157464,0.065439673,0.147239264,0.006134969,468,421,47,1
0.26,0.503333333,7.00E-02,0.153333333,0.013333333,2.85E+02,2.57E+02,28,1
0.247482014,0.522302158,0.079136691,0.145323741,0.005755396,658,603,55,1
0.255941499,0.526508227,0.069469835,0.140767824,0.007312614,520,478,42,1
0.25147929,5.18E-01,0.076923077,0.142011834,0.01183432,644,591,53,1
0.255772647,0.504440497,0.071047957,0.152753108,0.01598579,536,487,49,1
0.245454545,0.506060606,9.39E-02,0.136363636,0.018181818,313,283,30,1
2.62E-01,0.520356234,0.075063613,0.134860051,0.007633588,750,683,6.70E+01,1
0.274319066,0.509727626,0.073929961,0.130350195,0.011673152,494,445,49,1
0.244019139,0.524720893,0.07814992,1.47E-01,0.006379585,592,5.44E+02,48,1
0.253333333,0.52,0.072,0.141333333,0.013333333,355,324,31,1
0.267857143,0.507142857,0.078571429,0.125,0.021428571,269,243,26,1
0.260330579,0.508264463,7.44E-02,0.144628099,0.012396694,462,419,4.30E+01,1
0.256900212,0.501061571,0.076433121,0.152866242,0.012738854,446,400,46,1
0.261597938,0.536082474,0.067010309,0.132731959,0.00257732,736,675,61,1
0.258119658,0.512820513,0.088888889,0.126495726,0.013675214,560,508,52,1
0.249635036,0.524087591,0.071532847,0.143065693,0.011678832,652,603,49,1
0.244413408,5.24E-01,8.80E-02,0.138268156,0.005586592,678,621,5.70E+01,1
0.254789272,5.11E-01,0.093869732,1.28E-01,0.011494253,4.99E+02,452,47,1
0.262981575,0.510887772,0.068676717,0.145728643,1.17E-02,568,514,54,1
0.290909091,5.18E-01,0.081818182,0.106818182,2.27E-03,428,3.84E+02,44,1
0.248251748,0.503496503,0.076923077,0.15034965,0.020979021,271,246,2.50E+01,1
0.258287293,0.540055249,0.070441989,0.121546961,0.009668508,690,639,51,1
0.259452412,0.512385919,0.076923077,0.140808344,0.010430248,730,661,69,1
0.274596182,0.515418502,0.080763583,0.118942731,0.010279001,658,596,62,1
2.56E-01,0.526209677,0.070564516,1.33E-01,0.014112903,4.71E+02,432,39,1
0.270571827,0.510460251,0.083682008,0.124128312,0.011157601,691,624,67,1
0.27755102,0.51292517,6.67E-02,0.134693878,0.008163265,705,635,7.00E+01,1
0.245508982,0.500998004,0.073852295,0.161676647,0.017964072,473,429,44,1
0.261682243,0.501557632,0.07788162,0.146417445,0.012461059,306,275,31,1
0.253353204,0.508196721,0.090909091,0.140089419,0.007451565,640,579,61,1
0.287744227,0.502664298,0.065719361,0.13321492,0.010657194,543,484,59,1
0.250922509,0.503690037,0.079335793,1.51E-01,0.014760148,514,4.65E+02,49,1
2.79E-01,0.509825328,0.073144105,0.131004367,6.55E-03,8.81E+02,790,9.10E+01,1
0.260572988,0.502046385,0.07366985,0.155525239,0.008185539,698,629,69,1
0.257746479,0.53943662,0.063380282,0.13943662,0,672,620,52,1
0.243309002,0.527980535,0.090024331,0.124087591,0.01459854,392,363,29,1
0.254515599,0.509031199,0.078817734,0.146141215,0.011494253,579,525,54,1
0.254237288,5.24E-01,7.29E-02,0.142372881,0.006779661,5.61E+02,515,46,1
0.247983871,0.516129032,0.072580645,0.151209677,0.012096774,469,429,40,1
0.253869969,0.501547988,0.080495356,0.151702786,0.012383901,3.09E+02,281,28,1
0.272383354,0.505674653,0.076923077,0.136191677,0.008827238,763,687,76,1
2.47E-01,0.50913242,8.90E-02,0.141552511,0.01369863,4.15E+02,376,39,1
0.269736842,0.508223684,0.074013158,0.138157895,0.009868421,582,524,58,1
0.246175243,0.517385257,0.069541029,0.158553547,0.008344924,678,621,57,1
0.265720081,0.501014199,0.079107505,0.14198783,0.012170385,472,424,48,1
0.295039164,0.485639687,0.057441253,0.15926893,0.002610966,369,324,45,1
0.259197324,0.526755853,0.071906355,0.138795987,0.003344482,570,523,47,1
0.263279446,0.530023095,0.075057737,0.123556582,0.008083141,827,757,70,1
0.275210084,4.98E-01,0.073529412,0.149159664,0.004201681,456,406,50,1
0.261460102,0.531409168,0.069609508,0.127334465,0.010186757,560,513,47,1
0.263982103,0.516778523,0.091722595,0.118568233,0.008948546,429,388,41,1
0.258555133,0.505703422,0.072243346,1.41E-01,0.022813688,250,2.26E+02,2.40E+01,1
0.263888889,0.511111111,7.78E-02,0.127777778,1.94E-02,345,313,3.20E+01,1
0.260273973,0.516634051,0.070450098,0.138943249,0.01369863,4.89E+02,4.48E+02,41,1
0.256756757,0.5,0.087837838,0.141891892,0.013513514,284,257,27,1
0.269230769,0.495726496,0.064102564,0.158119658,0.012820513,446,399,47,1
0.262560778,0.515397083,0.081037277,0.131280389,0.009724473,590,535,55,1
0.259872611,0.521019108,0.072611465,0.136305732,0.010191083,748,683,65,1
0.250681199,0.51226158,0.079019074,0.143051771,0.014986376,697,635,62,1
0.252913753,0.509324009,0.082750583,0.13986014,0.015151515,8.17E+02,742,75,1
0.254784689,0.509569378,0.090909091,0.130382775,0.014354067,799,724,75,1
0.266509434,0.509433962,0.075471698,0.141509434,0.007075472,406,367,39,1
0.262079063,0.519765739,0.074670571,0.133235725,0.010248902,651,592,59,1
0.263862333,0.51625239,0.06500956,0.13957935,0.015296367,498,453,45,1
0.257425743,0.513613861,0.077970297,0.137376238,0.013613861,772,704,68,1
0.251322751,0.51984127,0.072751323,0.141534392,0.014550265,716,655,61,1
0.248641304,0.523097826,0.085597826,0.137228261,0.005434783,699,640,59,1
0.272131148,0.498360656,7.21E-02,1.44E-01,0.013114754,293,263,30,1
0.239373602,0.525727069,0.082774049,0.136465324,0.015659955,422,389,33,1
0.269749518,0.516377649,0.080924855,0.121387283,0.011560694,498,450,48,1
0.254211332,0.520673813,0.079632466,0.137825421,0.007656968,6.20E+02,5.65E+02,55,1
0.260067114,0.513422819,0.093959732,1.26E-01,0.006711409,5.72E+02,518,54,1
0.260869565,0.52173913,0.075362319,0.139130435,0.002898551,328,298,30,1
0.260940032,0.504051864,0.072933549,0.14910859,0.012965964,587,529,58,1
